"By Administrative District","Item","UNIT","2020.01 Month","2020.02 Month","2020.03 Month","2020.04 Month","2020.05 Month","2020.06 Month","2020.07 Month","2020.08 Month","2020.09 Month","2020.10 Month","2020.11 Month","2020.12 Month","2021.01 Month","2021.02 Month","2021.03 Month","2021.04 Month","2021.05 Month","2021.06 Month","2021.07 Month","2021.08 Month","2021.09 Month","2021.10 Month","2021.11 Month","2021.12 Month","2022.01 Month","2022.02 Month","2022.03 Month","2022.04 Month","2022.05 Month","2022.06 Month","2022.07 Month","2022.08 Month","2022.09 Month","2022.10 Month","2022.11 Month","2022.12 Month","2023.01 Month","2023.02 Month","2023.03 Month","2023.04 Month","2023.05 Month","2023.06 Month","2023.07 Month","2023.08 Month","2023.09 Month","2023.10 Month","2023.11 Month","2023.12 Month","2024.01 Month","2024.02 Month","2024.03 Month","2024.04 Month","2024.05 Month","2024.06 Month","2024.07 Month","2024.08 Month","2024.09 Month","2024.10 Month","2024.11 Month","2024.12 Month","2025.01 Month","2025.02 Month","2025.03 Month","2025.04 Month","2025.05 Month","2025.06 Month","2025.07 Month","2025.08 Month","2025.09 Month","2025.10 Month","2025.11 Month",
"Jangyu branch office","Household[Household]","Household","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Miryang-si","Household[Household]","Household","51629","51749","51836","51884","52066","52167","52272","52358","52440","52505","52593","52673","52723","52797","52864","52980","52809","52827","52858","52891","52916","52992","53022","53120","53126","53171","53251","53260","53306","53323","53355","53385","53364","53411","53558","53674","53626","53679","53794","53878","53902","53888","53866","53852","53863","53912","53917","53906","53928","53943","53977","54021","54005","54025","54046","53990","53980","53959","53987","54004","53987","53980","54066","54089","54108","54118","54082","54041","54040","54060","54099",
"Geoje-si","Household[Household]","Household","102150","102244","102635","102894","103094","103260","103315","103454","103569","103592","103644","103779","103846","103923","103697","103748","103722","103705","103675","103667","103703","103718","103668","103674","103585","103628","103602","103596","103590","103540","103577","103558","103461","103471","103488","103495","103446","103554","103702","103859","103941","103964","104139","104298","104373","104424","104436","104565","104702","104819","104955","105130","105252","105136","105492","105637","105790","105794","105961","106060","106101","106183","106300","106480","106622","106684","106751","106794","106912","107010","107037",
"Yangsan-si","Household[Household]","Household","145712","146141","146416","146690","147101","147498","147795","148148","148510","148728","148993","149595","150026","150459","150688","151169","151482","151873","152169","152317","152549","152871","153253","153732","153910","154135","154366","154464","154571","154728","154865","155045","155181","155319","155611","155897","156086","156375","156609","156809","157169","157485","157668","157893","158071","158258","158486","158640","158808","159212","159561","159726","159978","160410","160900","161436","162023","162430","162779","163197","163406","163817","164163","164351","164418","164625","164755","164891","165227","165446","165652",
"Yangsan-si ungsang branch office","Household[Household]","Household","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Uiryeong-gun","Household[Household]","Household","14586","14623","14643","14647","14702","14758","14765","14792","14810","14870","14889","14917","14967","15011","14953","14957","15007","14966","14983","14986","14965","14983","14985","15010","15034","15064","15092","15125","15130","15140","15159","15138","15099","15090","15090","15098","15075","15068","15062","15060","15065","15063","15036","15010","14995","14983","14950","14923","14900","14895","14904","14927","14921","14903","14914","14907","14894","14882","14879","14905","14883","14859","14855","14875","14866","14847","14831","14809","14775","14772","14778",
"Haman-gun","Household[Household]","Household","30877","30835","30839","30867","30920","30971","30964","31008","31016","31009","31039","31056","31080","31099","31084","31121","30987","30995","31029","31019","31000","31020","31002","30978","30957","30980","30984","30965","30960","30939","30962","30874","30859","30828","30823","30808","30804","30806","30830","30812","30808","30770","30730","30707","30660","30605","30589","30566","30544","30533","30502","30456","30415","30420","30402","30373","30316","30283","30252","30220","30201","30161","30143","30121","30095","30065","30034","30001","29965","29953","29923",
"Changnyeong-gun","Household[Household]","Household","31511","31616","31630","31721","31867","31915","31908","31980","32028","32124","32164","32203","32309","32367","32358","32339","32424","32323","32326","32283","32238","32309","32407","32469","32466","32568","32537","32542","32575","32566","32528","32513","32320","32295","32272","32198","32208","32212","32166","32173","32181","32180","32134","32106","32087","32051","32032","32027","32048","32027","32047","32065","32040","32030","32021","31970","31969","31938","31947","31996","32004","31907","31910","31846","31833","31755","31691","31663","31693","31683","31706",
"Goseong-gun","Household[Household]","Household","25895","25880","25927","25958","26055","26086","26123","26140","26137","26142","26206","26222","26250","26283","26157","26230","26275","26290","26313","26308","26344","26331","26338","26318","26262","26250","26249","26266","26261","26277","26297","26339","26281","26304","26301","26564","26503","26476","26560","26588","26594","26602","26581","26545","26557","26515","26519","26546","26484","26453","26453","26431","26436","26374","26484","26487","26460","26457","26463","26383","26326","26282","26329","26334","26354","26356","26332","26319","26320","26336","26316",
"Namhae-gun","Household[Household]","Household","22591","22588","22556","22534","22565","22608","22601","22629","22603","22603","22766","22780","22773","22765","22748","22761","22810","22810","22800","22831","22800","22804","22791","22786","22794","22788","22866","22890","22918","22905","22890","22869","22875","22863","22834","22774","22729","22724","22817","22810","22780","22764","22728","22719","22700","22642","22583","22534","22488","22469","22462","22445","22449","22427","22424","22401","22375","22319","22306","22268","22219","22176","22219","22202","22171","22152","22134","22120","22141","22245","22572",
"Ha-dong","Household[Household]","Household","23678","23655","23659","23643","23704","23699","23743","23740","23768","23782","23768","23796","23803","23803","23807","23847","23831","23756","23740","23760","23733","23757","23773","23769","23745","23778","23738","23739","23751","23756","23743","23693","23694","23701","23695","23675","23666","23663","23673","23689","23713","23720","23703","23668","23651","23636","23611","23567","23531","23535","23566","23572","23562","23539","23521","23499","23490","23496","23478","23472","23424","23406","23392","23373","23367","23339","23326","23311","23308","23295","23267",
"Sancheong-gun","Household[Household]","Household","19042","19058","19096","19128","19214","19282","19315","19377","19375","19401","19432","19454","19490","19532","19471","19533","19555","19549","19564","19583","19562","19577","19594","19600","19597","19581","19584","19594","19627","19619","19640","19623","19585","19589","19597","19576","19614","19664","19675","19723","19722","19712","19705","19693","19658","19636","19623","19639","19627","19638","19657","19658","19661","19659","19649","19622","19620","19616","19614","19591","19589","19590","19613","19621","19634","19642","19626","19617","19612","19599","19566",
"Hamyang-gun","Household[Household]","Household","20406","20427","20420","20449","20518","20574","20614","20652","20652","20703","20704","20754","20751","20902","20913","20952","20906","20909","20915","20939","20925","20913","20903","20840","20851","20876","20902","20955","20975","20965","20960","20978","20926","20915","20889","20868","20834","20806","20802","20829","20834","20818","20784","20752","20737","20715","20699","20679","20639","20611","20616","20621","20601","20582","20566","20552","20538","20520","20484","20471","20435","20424","20440","20436","20429","20403","20352","20330","20302","20285","20271",
"Geochang-gun","Household[Household]","Household","29508","29538","29585","29568","29794","29897","29921","29933","30021","30064","30091","30253","30271","30402","30742","30823","30679","30673","30648","30614","30576","30627","30606","30564","30525","30573","30716","30704","30697","30652","30647","30664","30670","30680","30710","30659","30609","30719","30942","30952","30962","30941","30937","30925","30947","30920","30981","30934","30867","30927","31203","31223","31221","31219","31194","31192","31193","31200","31199","31129","31098","31162","31249","31329","31321","31309","31260","31245","31255","31265","31250",
"Hapcheon-gun","Household[Household]","Household","24155","24144","24146","24168","24253","24281","24281","24272","24269","24286","24273","24261","24248","24250","24179","24217","24256","24256","24257","24201","24176","24190","24197","24213","24214","24229","24219","24209","24211","24215","24244","24239","24205","24195","24192","24185","24179","24156","24143","24152","24130","24120","24075","24035","24014","23984","23958","23939","23930","23918","23945","23914","23922","23895","23836","23803","23763","23764","23727","23687","23668","23610","23601","23570","23536","23516","23479","23485","23451","23441","23432",
"Jeju-do","Household[Household]","Household","293362","293932","294297","295387","296803","297669","298347","299051","299807","300540","301100","302033","302473","303203","302580","303191","303845","304353","305044","305517","306252","306741","307266","307529","307819","308530","308988","309322","309822","310265","310747","311272","311115","311251","311303","311355","311360","311801","312326","312612","312869","312910","313030","313081","313265","313291","313269","313155","313050","313304","313626","313797","314094","314321","314519","314663","314753","314812","314850","314862","314683","314861","315036","315066","315116","315049","315192","315323","315381","315408","315343",
